Year,Value
2000,2452.9
2001,2525.2
2002,2598.6
2003,2721.6
2004,2900.3
2005,3080.3
2006,3235.8
2007,3361.6
2008,3375.7
2009,3198.4
2010,3362.8
2011,3596.5
2012,3739.1
2013,3834.5
2014,3970.5
2015,4033.2
2016,4121.4
